Year,Value,UNIT_MEASURE
2003,10.9,Број на 1.000 становника
2004,11.0,Број на 1.000 становника
2005,11.6,Број на 1.000 становника
2006,11.2,Број на 1.000 становника
2007,12.0,Број на 1.000 становника
2008,11.4,Број на 1.000 становника
2009,11.7,Број на 1.000 становника
2010,11.5,Број на 1.000 становника
2011,11.6,Број на 1.000 становника
2012,11.8,Број на 1.000 становника
2013,11.9,Број на 1.000 становника
2014,12.3,Број на 1.000 становника
2015,13.0,Број на 1.000 становника
2016,12.1,Број на 1.000 становника
2017,12.7,Број на 1.000 становника
2018,12.9,Број на 1.000 становника
2019,13.2,Број на 1.000 становника
2020,14.6,Број на 1.000 становника
